choice	experiment_id	weight	p_zone	a_zone	outward_period	return_period	purpose	CarOwnershipConstant23	WAWE_Cost_Outward	KAWE_Cost_Outward	Bicycle_Cost_Outward	Walk_Cost_Return	Car_Cost_Return	Car_Cost_Outward	WAPE_Cost_Return	Bicycle_Cost_Return	a_CBDNonCore	WAWE_Cost_Return	Walk_Cost_Outward	a_CBDCore	CarOwnershipConstant0	PAWE_Cost_Outward	a_OuterFrame	WAKE_Cost_Return	a_CBDFrame	Bicycle_av	Car_av	PT_Kiss_Access_av	PT_Park_Access_av	PT_Walk_Access_av	Walk_av
2	0	30.8593847578973	2815	2787	13	13	1001	0	3784.05029296875	2783.74389648438	1043.1181640625	3044.23461914062	497.465179443359	484.596313476562	2868.6171875	1043.11791992188	0	4262.38525390625	3044.23413085938	0	0	2783.74389648438	0	2868.6171875	0	1	1	1	1	1	1
2	1	19.2452459696424	2868	2852	13	13	1001	0	2009.29040527344	1906.89953613281	91.2565002441406	254.602203369141	45.7131881713867	44.8515014648438	1911.59338378906	91.2565002441406	0	1967.26794433594	254.602203369141	0	0	1906.89953613281	0	1911.59338378906	0	1	1	1	1	1	1
2	2	92.3788073935234	2750	2857	13	13	1001	1	1768.11608886719	1793.50756835938	106.347602844238	290.188781738281	54.3022804260254	53.3578414916992	1792.46313476562	106.347602844238	0	1767.01147460938	290.188781738281	0	0	1793.50756835938	0	1792.46313476562	0	1	1	1	1	1	1
2	3	30.7450247647265	1456	1417	13	13	1001	0	2319.36352539062	2217.50390625	491.937866210938	1463.99694824219	199.389038085938	198.93782043457	2170.92358398438	491.937774658203	0	2194.11547851562	1463.99670410156	0	1	2217.50390625	0	2170.92358398438	0	1	1	1	1	1	1
2	4	30.7450247647265	1456	1439	13	13	1001	0	2271.630859375	2214.3935546875	319.203063964844	944.625061035156	143.961853027344	143.606597900391	2230.65673828125	319.203094482422	0	2263.720703125	944.624816894531	0	1	2214.3935546875	0	2230.65673828125	0	1	1	1	1	1	1
2	5	225.328797004773	2033	2031	13	13	1001	0	1749.55993652344	1779.73083496094	67.3946990966797	180.818405151367	37.9480361938477	37.8518524169922	1737.46398925781	67.3946990966797	0	1692.81591796875	180.818405151367	0	0	1779.73083496094	0	1737.46398925781	0	1	1	1	1	1	1
2	6	151.532071561907	840	397	13	13	1001	0	3954.75219726562	3885.03442382812	2103.47998046875	6248.5390625	1022.77954101562	1044.54260253906	3879.03100585938	2103.47924804688	0	3953.62768554688	6248.53955078125	0	0	3885.03442382812	0	3879.03100585938	0	1	1	1	1	1	1
2	7	7.84218071161404	3285	4765	13	13	1001	0	3004.44750976562	2659.62841796875	523.150512695312	1530.77355957031	242.737915039062	242.103332519531	2544.7177734375	523.150451660156	0	3313.59130859375	1530.7734375	0	1	2659.62841796875	0	2544.7177734375	0	1	1	1	1	1	1
2	8	408.414316102148	510	165	13	13	1001	1	2331.53344726562	1848.43542480469	690.618225097656	2050.97021484375	328.028076171875	328.274169921875	1873.61022949219	690.618286132812	0	2405.98168945312	2050.96997070312	0	0	1848.43542480469	1	1873.61022949219	0	1	1	1	1	1	1
2	9	67.1089971339954	1194	300	13	13	1001	0	1842.59582519531	1527.00231933594	653.772155761719	1937.75244140625	334.473937988281	333.948547363281	1525.78356933594	653.772033691406	0	1841.26501464844	1937.75244140625	0	0	1527.00231933594	0	1525.78356933594	0	1	1	1	1	1	1
